"File","Line","Literal","Category"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameOverModal.tsx","307","role=""dialog""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","72","openingLoading
                      ? ""Detecting opening...""
                      : ""Make a move to detect""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","73","openingLoading
                      ? ""Detecting opening...""
                      : ""Make a move to detect""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","74","gameStarted
                    ? openingLoading
                      ? ""Detecting opening...""
                      : ""Make a move to detect""
                    : ""Waiting for your first move""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","81","opening?.eco ? `ECO ${opening.eco}` : ""Book pending""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","83","opening.nextMoves.join("" â€¢ "")","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","99","gameStarted
              ? ""Make your first move to populate the log.""
              : ""Start a game to see your move list.""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","100","gameStarted
              ? ""Make your first move to populate the log.""
              : ""Start a game to see your move list.""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\GameSidebar.tsx","109","<span className=""text-xs font-semibold text-gray-500 dark:text-gray-400"">
                {i + 1}.
              </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\MoveListTabs.tsx","221","unreadMessageCount > 99 ? ""99+"" : unreadMessageCount","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\MoveListTabs.tsx","245","message.senderUsername || message.sender || ""System""","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\MoveListTabs.tsx","246","String(
                    message.senderUsername || message.sender || ""System"",
                  ).trim() || ""System""","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\MoveListTabs.tsx","262","content || ""-""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\MoveListTabs.tsx","300","content || ""-""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\PlayerInfo.tsx","107","<span className={ratingTextClass}>
                ({displayRating})
              </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\PlayerInfo.tsx","108","<span className={ratingTextClass}>
                ({displayRating})
              </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\setup\BotSelector.tsx","125","<p className=""text-sm text-gray-600 dark:text-gray-400 italic mb-1"">
            ""{bot.personality}""
          </p>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\setup\BotSelector.tsx","126","<p className=""text-sm text-gray-600 dark:text-gray-400 italic mb-1"">
            ""{bot.personality}""
          </p>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\setup\BotSelector.tsx","135","<span
              className={`text-xs px-2 py-0.5 rounded-full ${categoryColors[bot.category]} text-white`}
            >
              {bot.rating} ELO
            </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\setup\GameSetupModal.tsx","62","mode=""wait""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\game\setup\GameSetupModal.tsx","92","activeTab === ""bots"" && selectedBot
            ? `Play vs ${selectedBot.name}`
            : ""Start Game""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\learn\LearnCourseCard.tsx","124","<span>{progressPercent}%</span>","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\learn\LessonPanel.tsx","67","<span>{courseProgress.percentComplete}%</span>","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\FormatStatsCard.tsx","99","dataKey=""x""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\FormatStatsCard.tsx","115","dataKey=""rating""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\FormatStatsCard.tsx","229","format.delta >= 0 ? ""+"" : ""-""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\FormatStatsCard.tsx","229","format.delta >= 0 ? ""+"" : ""-""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","112","[""all"", ""wins"", ""losses"", ""draws""]","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","112","[""all"", ""wins"", ""losses"", ""draws""]","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","112","[""all"", ""wins"", ""losses"", ""draws""]","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","164","row.placement ? `#${row.placement}` : ""-""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","176","row.eloChange >= 0 ? ""+"" : """"","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","182","i18n.resolvedLanguage || i18n.language || ""en""","ignore_candidate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\GamesTabContent.tsx","255","<span
                key={`dots-${i}`}
                className=""w-9 h-9 flex items-center justify-center text-gray-400 dark:text-gray-600 text-sm select-none""
              >
                â€¦
              </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PerformanceByColorCard.tsx","25","<span className=""text-sm font-bold"">{stats.whiteWinRate}%</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PerformanceByColorCard.tsx","40","<span className=""text-sm font-bold"">{stats.blackWinRate}%</span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PoolLeaderboardCard.tsx","119","<span
                        className={`text-sm font-bold tabular-nums ${
                          accent
                            ? accent.text
                            : ""text-gray-500 dark:text-gray-500""
                        }`}
                      >
                        #{entry.rank}
                      </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PoolLeaderboardCard.tsx","191","<>
                {t(""profileWidgets.yourPosition"", ""Your position"")}:{"" ""}
                <span className=""font-semibold text-brand-600 dark:text-brand-400"">
                  #{currentUser.rank}
                </span>{"" ""}
                ({currentUser.rating})
              </>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PoolLeaderboardCard.tsx","192","<span className=""font-semibold text-brand-600 dark:text-brand-400"">
                  #{currentUser.rank}
                </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PoolLeaderboardCard.tsx","194","<>
                {t(""profileWidgets.yourPosition"", ""Your position"")}:{"" ""}
                <span className=""font-semibold text-brand-600 dark:text-brand-400"">
                  #{currentUser.rank}
                </span>{"" ""}
                ({currentUser.rating})
              </>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PoolLeaderboardCard.tsx","195","<>
                {t(""profileWidgets.yourPosition"", ""Your position"")}:{"" ""}
                <span className=""font-semibold text-brand-600 dark:text-brand-400"">
                  #{currentUser.rank}
                </span>{"" ""}
                ({currentUser.rating})
              </>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\PoolLeaderboardCard.tsx","199","<>
                {t(""profileWidgets.yourPosition"", ""Your position"")}:{"" ""}
                <span className=""font-semibold text-gray-500 dark:text-gray-400"">
                  {t(""profileWidgets.unranked"", ""Unranked"")}
                </span>{"" ""}
                {t(""profileWidgets.unrankedGamesSuffix"", {
                  count: currentUser.games,
                  total: 10,
                  defaultValue: ""({{count}}/{{total}} games)"",
                })}
              </>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\ProfileAvatarUpload.tsx","160","userName || ""Profile""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\ProfileAvatarUpload.tsx","216","alt=""Preview""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\ProfileAvatarUpload.tsx","222","alt=""Current""","must_translate"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\ProfileAvatarUpload.tsx","273","<>
                        <Loader2 size={18} className=""animate-spin"" />
                        Uploading...
                      </>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\ProfileAvatarUpload.tsx","291","<>
                        <Loader2 size={18} className=""animate-spin"" />
                        Removing...
                      </>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","265","ease: ""easeOut""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","270","<span className=""text-[11px] font-medium uppercase tracking-wide text-gray-500 dark:text-gray-400"">
                {selectedPoolLabel} | {selectedRangeLabel}
              </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","273","<span className=""text-[12px] font-semibold text-gray-700 dark:text-gray-200"">
                {t(""profileWidgets.current"", ""Current"")}: {chart.last}
                {typeof chart.lastPoint?.rd === ""number""
                  ? ` ${t(""profileWidgets.plusMinus"", ""+/-"")} ${Math.round(chart.lastPoint.rd)}`
                  : """"}
              </span>","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","297","strokeDasharray=""2 6""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","298","stroke=""#475569""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","302","dataKey=""x""","safe_technical"
"C:\Users\User\OneDrive\Desktop\Diploma Code V2\ChessWebV3 - Copy\src\components\profilePage\RatingTimelineCard.tsx","303","fill: ""#94a3b8""","safe_technical"
