
=== YOUR CODE STATISTICS ===

server\server\migrateRatingsToPools.js                          130 lines
src\chess\useChessGame.ts                                       130 lines
src\components\game\GameSidebar.tsx                             130 lines
src\components\replay\ReplayMoveList.tsx                        130 lines
src\hooks\useGameReplay960.ts                                   130 lines
src\pages\messages\components\SharedGameCard.tsx                129 lines
src\components\replay\explanation\constants.ts                  128 lines
src\hooks\gameHistorySaver\utils.ts                             128 lines
src\components\game\ChessTimer.tsx                              127 lines
server\server\importPuzzles.js                                  126 lines
src\pages\messages\components\AttachmentGrid.tsx                126 lines
src\components\replay\GameSummary.tsx                           125 lines
server\server\models\ActiveGameSession.js                       123 lines
server\server\utils\gameHistoryStats.js                         121 lines
src\components\replay\explanation\MoveExplanationPanel.tsx      121 lines
src\config\boardThemes.ts                                       121 lines
server\server\middleware\requestSecurity.js                     120 lines
server\server\scripts\cancelZeroPlayerTournaments.js            119 lines
src\features\blocking\api.ts                                    119 lines
src\pages\playWithBot\GameSettingsPanel.tsx                     117 lines
src\components\game\ResignConfirmButton.tsx                     116 lines
src\pages\puzzles\PuzzleBrowseFilters.tsx                       116 lines
src\pages\messages\utils.ts                                     115 lines
server\server\models\Tournament.js                              113 lines
server\server\seedTestBots.js                                   113 lines
server\server\services\userDeletion.js                          112 lines
src\pages\playWithBot\BotSelectionGrid.tsx                      112 lines
src\utils\analysisAiModels.ts                                   112 lines
src\pages\adminCommunity\components\AdminCommunityMediaPreview.tsx    111 lines
src\components\profile\GameCardDetails.tsx                      109 lines
src\pages\adminUsers\AdminUsers.tsx                             106 lines
src\components\profile\GameCardHeader.tsx                       105 lines
src\hooks\useStockfishGameTypes.ts                              105 lines
server\server\routes\media.js                                   101 lines
src\pages\messages\types.ts                                     101 lines
src\components\game\setup\GameSetupModal.tsx                    100 lines
src\hooks\moveAnalysis\useQualityClassification.ts              100 lines
src\components\community\postComposer\SelectedGamePreview.tsx     99 lines
src\components\replay\ReplayBoard.tsx                            99 lines
src\pages\adminUsers\UsersTableHeader.tsx                        98 lines
src\hooks\gameHistorySaver\buildPgn.ts                           97 lines
server\server\models\CommunityGroup.js                           96 lines
src\hooks\useEngineMoves.ts                                      96 lines
src\components\game\MoveNotation.tsx                             95 lines
src\hooks\useBlockingModal.ts                                    95 lines
src\store\chessStore.ts                                          95 lines
src\components\replay\ReplayEvalBar.tsx                          94 lines
src\pages\adminBots\DeleteConfirmModal.tsx                       94 lines
src\components\community\FeedPagination.tsx                      92 lines
src\hooks\moveAnalysis\useAccuracyCalculation.ts                 92 lines
server\server\middleware\checkBlocked.js                         91 lines
src\pages\adminAnalyze\AdminAnalyze.tsx                          89 lines
src\components\AdminPagination.tsx                               88 lines
src\pages\adminCommunity\components\FilterDropdown.tsx           88 lines
src\pages\messages\components\MediaViewerModal.tsx               87 lines
src\pages\puzzleTrainer\PuzzleStatusArea.tsx                     87 lines
src\pages\watch\Watch.tsx                                        87 lines
src\components\settings\ThemeOptionsGrid.tsx                     86 lines
src\pages\puzzles\PuzzleStatsCards.tsx                           86 lines
server\server\seeds\gameConfig.js                                85 lines
server\server\models\Message.js                                  84 lines
src\components\LanguageSwitcher.tsx                              84 lines
server\server\models\TournamentGame.js                           82 lines
src\historyTypes.ts                                              82 lines
src\pages\puzzleTrainer\PuzzleActions.tsx                        82 lines
src\main.tsx                                                     81 lines
server\server\models\FriendRequest.js                            80 lines
server\server\routes\adminLearn.js                               80 lines
src\utils\presence.ts                                            80 lines
src\hooks\useElementSize.ts                                      79 lines
src\pages\game\types.ts                                          79 lines
src\utils\ratingPool.ts                                          78 lines
server\server\modules\tournaments\stateMachine.js                77 lines
src\hooks\useChessboardDropCoordinates.ts                        76 lines
src\pages\adminCommunity\components\PreviewGalleryModal.tsx      76 lines
src\store\messageStore.ts                                        76 lines
server\server\modules\elo\tournamentElo.js                       75 lines
server\server\utils\cookies.js                                   75 lines
src\components\profilePage\RecentGames.tsx                       75 lines
src\components\replay\AdvantageGraph.tsx                         75 lines
server\server\models\RatingEvent.js                              74 lines
server\server\utils\historyPlayers.js                            74 lines
src\hooks\useOpeningExplorer.ts                                  74 lines
server\server\seedAdmin.js                                       73 lines
src\components\replay\explanation\ExplanationContent.tsx         73 lines
src\pages\game\GameSidebar.tsx                                   73 lines
src\pages\adminGames\DeleteGameModal.tsx                         72 lines
server\server\models\LearnLessonStep.js                          71 lines
src\pages\analyze\Analyze.tsx                                    70 lines
src\pages\analyze960\Analyze960.tsx                              70 lines
importPuzzlesToAPI.js                                            69 lines
server\server\routes\bots.js                                     69 lines
server\server\utils\friendship.js                                69 lines
src\hooks\moveAnalysis\useMoveAnalysis.ts                        69 lines
src\pages\messages\components\DeleteConversationModal.tsx        69 lines
server\server\models\UserPuzzleState.js                          68 lines
server\server\seeds\puzzles.js                                   68 lines
