avg_centipawn_loss,std_centipawn_loss,median_centipawn_loss,max_centipawn_loss,cp_loss_q25,cp_loss_q75,top1_move_rate,blunder_rate,mistake_rate,cp_loss_variance,player_elo,opponent_elo,elo_diff,player_rd,game_length,time_base,won,is_computer
15.657142857142857,29.00043630917385,2.0,112.0,0.0,18.5,0.5428571428571428,0.0,0.02857142857142857,841.0253061224489,2011,2156,-145,21.7,97,300,0.0,0
37.114285714285714,52.948908759062356,19.0,264.0,4.0,55.5,0.37142857142857144,0.02857142857142857,0.05714285714285714,2803.5869387755106,1943,2067,-124,22.1,166,300,0.0,1
24.37142857142857,34.341216980087786,8.0,142.0,1.0,37.0,0.4,0.0,0.05714285714285714,1179.3191836734695,2067,1943,124,17.9,166,300,1.0,0
46.885714285714286,59.49634871321165,20.0,226.0,0.0,57.0,0.2857142857142857,0.02857142857142857,0.2,3539.815510204082,2015,2130,-115,24.3,81,300,0.5,1
43.17142857142857,51.86382483514509,14.0,177.0,1.5,71.5,0.3142857142857143,0.0,0.14285714285714285,2689.8563265306125,2130,2015,115,17.4,81,300,0.5,0
32.0,66.6538876641171,5.0,335.0,0.0,37.5,0.4444444444444444,0.037037037037037035,0.07407407407407407,4442.740740740741,2168,1838,330,37.6,54,60,0.0,1
36.2962962962963,54.09375593104091,10.0,203.0,4.0,46.5,0.4074074074074074,0.037037037037037035,0.07407407407407407,2926.1344307270233,1838,2168,-330,46.8,54,60,1.0,0
16.1875,28.058462961288523,2.5,101.0,0.0,14.0,0.6875,0.0,0.0625,787.27734375,2276,1955,321,32.8,31,60,1.0,1
21.6,40.58538324733836,0.0,121.0,0.0,21.5,0.6666666666666666,0.0,0.13333333333333333,1647.1733333333334,1955,2276,-321,25.5,31,60,0.0,0
28.285714285714285,29.80467022711271,15.0,105.0,4.5,40.5,0.34285714285714286,0.0,0.02857142857142857,888.3183673469388,2269,1949,320,20.7,88,300,1.0,1
30.0,72.06187817226447,3.0,394.0,0.0,29.5,0.45714285714285713,0.02857142857142857,0.05714285714285714,5192.914285714286,1949,2269,-320,22.5,88,300,0.0,0
31.448275862068964,36.64610456495982,18.0,138.0,0.0,58.0,0.3448275862068966,0.0,0.034482758620689655,1342.936979785969,2749,1424,1325,33.8,57,300,1.0,1
379.39285714285717,1728.780212819054,33.5,9359.0,3.0,87.0,0.21428571428571427,0.03571428571428571,0.10714285714285714,2988681.024234694,1424,2749,-1325,29.6,57,300,0.0,0
42.111111111111114,61.561973191328725,14.0,222.0,0.25,47.0,0.4444444444444444,0.05555555555555555,0.1111111111111111,3789.8765432098767,2044,2078,-34,27.1,37,300,0.0,1
33.8421052631579,58.25647753267645,10.0,247.0,0.0,37.0,0.42105263157894735,0.05263157894736842,0.05263157894736842,3393.817174515236,2078,2044,34,16.5,37,300,1.0,0
49.57142857142857,67.31515885924135,21.0,257.0,0.0,76.5,0.45714285714285713,0.08571428571428572,0.02857142857142857,4531.3306122448985,2009,2055,-46,23.1,117,300,0.5,1
35.285714285714285,46.460780036851006,12.0,196.0,0.0,60.5,0.4857142857142857,0.0,0.11428571428571428,2158.604081632653,2055,2009,46,20.8,117,300,0.5,0
24.166666666666668,29.584624384974028,8.5,96.0,0.0,50.0,0.5,0.0,0.0,875.2499999999999,2074,1932,142,22.1,35,300,1.0,1
22.58823529411765,17.84593815551648,20.0,62.0,7.0,32.0,0.29411764705882354,0.0,0.0,318.47750865051904,1932,2074,-142,22.6,35,300,0.0,0
10.657142857142857,13.535018828722682,6.0,52.0,0.0,15.0,0.5428571428571428,0.0,0.0,183.19673469387752,3043,2950,93,27.3,143,0,0.5,1
